gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mut_female,n_mut_male,n_ctrl_female,n_ctrl_male,centre_bg_pool_female,centre_bg_pool_male,mutant_test_period
Cmtm4,Cmtm4<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2012-03-20/2012-04-16
Cmtm6,Cmtm6<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,4,54,44,452,454,2012-10-01/2012-12-11
Cnot6,Cnot6<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2012-03-15/2012-05-17
Commd10,Commd10<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2013-04-08/2013-04-08
Coq4,Coq4<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-09-18/2012-09-26
Coro1c,Coro1c<tm1a(KOMP)Wtsi>,heterozygote,WTSI,0,6,54,44,452,454,2013-05-16/2013-05-23
Coro1c,Coro1c<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,2,54,44,452,454,2013-06-04/2013-06-13
Crb2,Crb2<tm1a(KOMP)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-07-25/2013-07-25
Creb3l1,Creb3l1<tm1e(EUCOMM)Wtsi>,heterozygote,WTSI,2,3,54,44,452,454,2013-02-04/2013-03-28
Ct45a,Ct45a<tm1e(KOMP)Wtsi>,hemizygote,WTSI,0,4,54,44,452,454,2013-05-28/2013-07-11
Cyba,Cyba<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2013-05-07/2013-05-07
Cyfip2,Cyfip2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,8,54,44,452,454,2013-02-12/2013-03-19
Cyp20a1,Cyp20a1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-06-06/2013-06-17
Cyp3a11,Cyp3a11<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-04-30/2013-04-30
Dars2,Dars2<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-03-22/2012-03-22
Dcdc2c,Dcdc2c<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-11-13/2012-11-15
Dctn1,Dctn1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2013-01-07/2013-01-07
Dcx,Dcx<tm1a(EUCOMM)Wtsi>,hemizygote,WTSI,0,4,54,44,452,454,2012-05-02/2013-03-18
Dcx,Dcx<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,0,54,44,452,454,2012-10-23/2012-10-23
Ddhd1,Ddhd1<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2013-05-08/2013-05-08
Ddx55,Ddx55<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-03-18/2013-03-18
Def6,Def6<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,6,2,54,44,452,454,2013-04-11/2013-04-30
Defb22,Defb22<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2014-01-21/2014-01-21
Dennd1b,Dennd1b<tm1a(EUCOMM)Hmgu>,homozygote,WTSI,1,3,54,44,452,454,2014-03-24/2014-03-24
