gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mut_female,n_mut_male,n_ctrl_female,n_ctrl_male,centre_bg_pool_female,centre_bg_pool_male,mutant_test_period,shortage_mechanism
Vapb,Vapb<em1(IMPC)H>,homozygote,MRC Harwell,0,2,34,36,442,434,2020-04-06/2020-04-07,Stimulus/equipment config
Zcchc12,Zcchc12<em1(IMPC)H>,hemizygote,MRC Harwell,0,2,34,36,442,434,2021-10-07/2021-10-07,Stimulus/equipment config
Zcchc12,Zcchc12<em1(IMPC)H>,homozygote,MRC Harwell,2,0,34,36,442,434,2021-10-05/2021-10-07,Stimulus/equipment config
Zdhhc16,Zdhhc16<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,2,2,34,36,442,434,2020-10-06/2020-10-06,Stimulus/equipment config
Zic4,Zic4<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-11-15/2021-11-16,Stimulus/equipment config
Col22a1,Col22a1<em1(IMPC)Rbrc>,homozygote,RBRC,0,4,6,38,6,38,2016-11-07/2016-11-08,Genetic Background control-matching
Katna1,Katna1<em1(IMPC)Rbrc>,heterozygote,RBRC,0,4,6,38,6,38,2016-09-26/2016-09-27,Genetic Background control-matching
Pdyn,Pdyn<em1(IMPC)Rbrc>,homozygote,RBRC,0,4,6,38,6,38,2016-07-04/2016-07-05,Genetic Background control-matching
Pomc,Pomc<em1(IMPC)Rbrc>,heterozygote,RBRC,0,4,6,38,6,38,2016-07-25/2016-07-26,Genetic Background control-matching
Ptprm,Ptprm<em1(IMPC)Rbrc>,homozygote,RBRC,0,4,6,38,6,38,2016-10-31/2016-11-02,Genetic Background control-matching
Rlim,Rlim<em1(IMPC)Rbrc>,hemizygote,RBRC,0,4,6,38,6,38,2016-12-12/2016-12-13,Genetic Background control-matching
Sec24d,Sec24d<em1(IMPC)Rbrc>,heterozygote,RBRC,0,4,6,38,6,38,2016-10-17/2016-10-18,Genetic Background control-matching
Tfr2,Tfr2<em1(IMPC)Rbrc>,homozygote,RBRC,0,4,6,38,6,38,2016-09-05/2016-09-06,Genetic Background control-matching
1700003F12Rik,1700003F12Rik<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2013-12-06/2013-12-06,Time-based control-matching
Acvr1b,Acvr1b<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2013-07-03/2013-07-03,Time-based control-matching
Acvr2a,Acvr2a<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2014-05-06/2014-05-22,Time-based control-matching
Acvr2a,Acvr2a<tm1.1(KOMP)Vlcg>,homozygote,TCP,2,0,50,50,295,293,2014-05-06/2014-05-22,Time-based control-matching
Ampd1,Ampd1<tm1b(KOMP)Wtsi>,heterozygote,TCP,2,2,50,50,295,293,2013-08-06/2013-08-08,Time-based control-matching
Ampd1,Ampd1<tm1b(KOMP)Wtsi>,homozygote,TCP,1,1,50,50,295,293,2013-08-08/2013-08-08,Time-based control-matching
Casq2,Casq2<tm1b(KOMP)Wtsi>,heterozygote,TCP,2,2,50,50,295,293,2014-06-26/2014-06-26,Time-based control-matching
Cbx4,Cbx4<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2014-01-21/2014-01-31,Time-based control-matching
Cdc7,Cdc7<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2016-06-23/2016-06-28,Time-based control-matching
Chchd1,Chchd1<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2016-05-11/2016-05-11,Time-based control-matching
Cox4i1,Cox4i1<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2013-08-13/2013-09-05,Time-based control-matching
Crispld2,Crispld2<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2014-07-17/2014-07-23,Time-based control-matching
Ddost,Ddost<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2013-05-06/2013-05-09,Time-based control-matching
Ddx41,Ddx41<tm1b(KOMP)Wtsi>,heterozygote,TCP,2,2,50,50,295,293,2014-03-13/2014-03-24,Time-based control-matching
Dnal1,Dnal1<tm1.1(KOMP)Vlcg>,heterozygote,TCP,3,2,50,50,295,293,2016-04-21/2016-05-18,Time-based control-matching
Exoc8,Exoc8<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2014-04-02/2014-04-02,Time-based control-matching
Eya4,Eya4<tm1b(KOMP)Wtsi>,heterozygote,TCP,2,2,50,50,295,293,2014-01-21/2014-01-21,Time-based control-matching
Fadd,Fadd<tm1e.1(KOMP)Wtsi>,heterozygote,TCP,2,2,50,50,295,293,2013-12-04/2013-12-04,Time-based control-matching
Fgfr1,Fgfr1<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2015-04-28/2015-05-20,Time-based control-matching
Fus,Fus<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2013-08-30/2013-08-30,Time-based control-matching
Gng13,Gng13<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2013-12-18/2013-12-19,Time-based control-matching
Gng13,Gng13<tm1.1(KOMP)Vlcg>,homozygote,TCP,3,0,50,50,295,293,2013-12-19/2014-01-07,Time-based control-matching
Gpc2,Gpc2<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2014-01-07/2014-01-10,Time-based control-matching
Gpc2,Gpc2<tm1.1(KOMP)Vlcg>,homozygote,TCP,2,1,50,50,295,293,2014-01-07/2014-01-10,Time-based control-matching
Gtpbp2,Gtpbp2<tm1b(KOMP)Mbp>,heterozygote,TCP,2,2,50,50,295,293,2013-08-16/2013-08-20,Time-based control-matching
Gtpbp2,Gtpbp2<tm1b(KOMP)Mbp>,homozygote,TCP,2,2,50,50,295,293,2013-08-13/2013-08-20,Time-based control-matching
Lypd3,Lypd3<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2014-04-09/2014-04-10,Time-based control-matching
Lypd3,Lypd3<tm1.1(KOMP)Vlcg>,homozygote,TCP,2,2,50,50,295,293,2014-04-10/2014-04-16,Time-based control-matching
Nabp2,Nabp2<tm1b(KOMP)Wtsi>,heterozygote,TCP,2,2,50,50,295,293,2014-08-21/2014-09-04,Time-based control-matching
Nobox,Nobox<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2015-04-01/2015-04-09,Time-based control-matching
Nobox,Nobox<tm1.1(KOMP)Vlcg>,homozygote,TCP,0,2,50,50,295,293,2015-04-28/2015-04-28,Time-based control-matching
Pex26,Pex26<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2014-05-22/2014-05-22,Time-based control-matching
Pnn,Pnn<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2014-08-27/2014-09-10,Time-based control-matching
Ptpmt1,Ptpmt1<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2013-12-18/2013-12-19,Time-based control-matching
Rhbdl1,Rhbdl1<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2014-07-30/2014-08-08,Time-based control-matching
Rnf20,Rnf20<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2013-09-27/2013-09-27,Time-based control-matching
