gene_symbol,allele_symbol,zygosity,center,all_bayes_factor,all_p_hearing_loss,all_hdi_lower,all_hdi_upper,all_n_mutants,all_n_controls,all_analysis_key,all_effect_6kHz-evoked,all_effect_12kHz-evoked,all_effect_18kHz-evoked,all_effect_24kHz-evoked,all_effect_30kHz-evoked,male_bayes_factor,male_p_hearing_loss,male_hdi_lower,male_hdi_upper,male_n_mutants,male_n_controls,male_analysis_key,male_effect_6kHz-evoked,male_effect_12kHz-evoked,male_effect_18kHz-evoked,male_effect_24kHz-evoked,male_effect_30kHz-evoked,female_bayes_factor,female_p_hearing_loss,female_hdi_lower,female_hdi_upper,female_n_mutants,female_n_controls,female_analysis_key,female_effect_6kHz-evoked,female_effect_12kHz-evoked,female_effect_18kHz-evoked,female_effect_24kHz-evoked,female_effect_30kHz-evoked,gene_classification
Ube2g1,Ube2g1<tm1b(EUCOMM)Hmgu>,homozygote,RBRC,3.371584699453552,0.625,0.333,0.915,4.0,293.0,Ube2g1_Ube2g1<tm1b(EUCOMM)Hmgu>_homozygote_RBRC,32.804,28.546,23.997,22.636,19.776,3.3883708173340645,0.626,0.341,0.922,4.0,236.0,Ube2g1_Ube2g1<tm1b(EUCOMM)Hmgu>_homozygote_RBRC_male,32.36,27.917,23.707,22.385,20.052,,,,,,,,,,,,,Candidate
Atp8b1,Atp8b1<em1(IMPC)Tcp>,homozygote,TCP,10.782032400589102,0.7,0.446,0.929,6.0,588.0,Atp8b1_Atp8b1<em1(IMPC)Tcp>_homozygote_TCP,36.898,46.774,40.488,34.969,25.673,1.9498525073746311,0.572,0.253,0.883,3.0,293.0,Atp8b1_Atp8b1<em1(IMPC)Tcp>_homozygote_TCP_male,37.833,49.258,40.624,33.0,28.307,1.9411764705882355,0.572,0.242,0.887,3.0,295.0,Atp8b1_Atp8b1<em1(IMPC)Tcp>_homozygote_TCP_female,31.307,40.191,36.517,32.334,20.617,Known
Bap1,Bap1<em2(IMPC)Marc>,heterozygote,MARC,3.2803638309256287,0.623,0.329,0.908,4.0,147.0,Bap1_Bap1<em2(IMPC)Marc>_heterozygote_MARC,8.793,11.669,14.006,29.082,26.814,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Fbxo24,Fbxo24<em2(IMPC)Marc>,homozygote,MARC,3.5792787635947336,0.626,0.324,0.907,4.0,147.0,Fbxo24_Fbxo24<em2(IMPC)Marc>_homozygote_MARC,9.057,13.449,14.153,35.15,26.768,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Mpdz,Mpdz<em1(IMPC)J>,homozygote,JAX,9.19108280254777,0.681,0.443,0.922,8.0,2541.0,Mpdz_Mpdz<em1(IMPC)J>_homozygote_JAX,26.413,33.638,42.95,29.042,25.49,3.3739748496446147,0.626,0.328,0.908,4.0,1264.0,Mpdz_Mpdz<em1(IMPC)J>_homozygote_JAX_male,17.28,27.654,36.132,24.061,23.297,0.9728729963008632,0.498,0.203,0.804,4.0,1277.0,Mpdz_Mpdz<em1(IMPC)J>_homozygote_JAX_female,36.23,35.343,40.838,30.898,25.438,Known
Mgrn1,Mgrn1<em1(IMPC)Tcp>,homozygote,TCP,14.717092337917483,0.724,0.483,0.949,7.0,588.0,Mgrn1_Mgrn1<em1(IMPC)Tcp>_homozygote_TCP,17.801,18.056,24.187,22.078,16.167,9.624169986719789,0.7,0.445,0.942,6.0,293.0,Mgrn1_Mgrn1<em1(IMPC)Tcp>_homozygote_TCP_male,16.969,16.999,24.129,22.813,17.819,,,,,,,,,,,,,Novel
Baiap2l2,Baiap2l2<tm1b(EUCOMM)Hmgu>,homozygote,ICS,726.2727272727273,0.816,0.656,0.964,16.0,1512.0,Baiap2l2_Baiap2l2<tm1b(EUCOMM)Hmgu>_homozygote_ICS,24.257,36.996,35.092,33.542,23.74,28.197080291970803,0.751,0.526,0.955,8.0,767.0,Baiap2l2_Baiap2l2<tm1b(EUCOMM)Hmgu>_homozygote_ICS_male,26.479,40.996,38.098,37.684,27.427,27.268551236749115,0.749,0.526,0.955,8.0,745.0,Baiap2l2_Baiap2l2<tm1b(EUCOMM)Hmgu>_homozygote_ICS_female,19.722,27.967,27.321,23.615,17.88,Known
Baiap2l2,Baiap2l2<tm1a(EUCOMM)Hmgu>,homozygote,ICS,10.799410029498524,0.702,0.454,0.934,6.0,1512.0,Baiap2l2_Baiap2l2<tm1a(EUCOMM)Hmgu>_homozygote_ICS,30.117,61.631,59.154,42.841,29.878,1.9563932002956392,0.573,0.247,0.883,3.0,767.0,Baiap2l2_Baiap2l2<tm1a(EUCOMM)Hmgu>_homozygote_ICS_male,26.019,50.61,50.123,37.142,27.261,1.9197080291970805,0.573,0.243,0.896,3.0,745.0,Baiap2l2_Baiap2l2<tm1a(EUCOMM)Hmgu>_homozygote_ICS_female,29.07,55.315,50.058,35.106,25.066,Known
Ahsg,Ahsg<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,3.4198895027624308,0.625,0.325,0.918,4.0,569.0,Ahsg_Ahsg<tm1.1(KOMP)Vlcg>_homozygote_UC Davis,12.863,17.123,16.523,18.359,30.316,,,,,,,,,,,,,,,,,,,,,,,,,Candidate
Klhdc8b,Klhdc8b<em1(IMPC)J>,homozygote,JAX,3.507042253521127,0.622,0.333,0.902,8.0,2541.0,Klhdc8b_Klhdc8b<em1(IMPC)J>_homozygote_JAX,8.425,17.046,14.698,13.086,18.293,0.1809861234130499,0.31,0.015,0.614,4.0,1264.0,Klhdc8b_Klhdc8b<em1(IMPC)J>_homozygote_JAX_male,14.231,16.609,20.9,16.679,23.664,1.902757619738752,0.57,0.238,0.89,4.0,1277.0,Klhdc8b_Klhdc8b<em1(IMPC)J>_homozygote_JAX_female,7.84,19.4,16.241,16.269,16.811,Novel
Usp43,Usp43<em1(IMPC)Marc>,homozygote,MARC,3.310344827586207,0.624,0.326,0.923,4.0,147.0,Usp43_Usp43<em1(IMPC)Marc>_homozygote_MARC,9.058,12.027,12.284,29.104,24.24,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Fndc7,Fndc7<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,3.241781548250265,0.622,0.312,0.911,4.0,569.0,Fndc7_Fndc7<tm1.1(KOMP)Vlcg>_homozygote_UC Davis,15.453,24.051,15.677,14.272,13.575,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Pcp4l1,Pcp4l1<tm1b(KOMP)Wtsi>,homozygote,HMGU,15.326530612244898,0.722,0.489,0.954,7.0,1804.0,Pcp4l1_Pcp4l1<tm1b(KOMP)Wtsi>_homozygote_HMGU,23.66,17.779,17.349,18.591,18.669,1.8298549699327908,0.569,0.246,0.888,3.0,920.0,Pcp4l1_Pcp4l1<tm1b(KOMP)Wtsi>_homozygote_HMGU_male,21.525,17.82,17.927,16.721,18.213,3.333694474539545,0.625,0.328,0.908,4.0,884.0,Pcp4l1_Pcp4l1<tm1b(KOMP)Wtsi>_homozygote_HMGU_female,24.009,18.29,17.57,20.441,19.507,Novel
Myh1,Myh1<tm1b(KOMP)Wtsi>,homozygote,JAX,9.403120936280883,0.7,0.439,0.94,6.0,2541.0,Myh1_Myh1<tm1b(KOMP)Wtsi>_homozygote_JAX,24.815,19.277,18.007,22.333,16.094,1.929329915781765,0.572,0.243,0.887,3.0,1264.0,Myh1_Myh1<tm1b(KOMP)Wtsi>_homozygote_JAX_male,24.121,17.579,18.998,20.601,17.548,1.952029520295203,0.573,0.259,0.889,3.0,1277.0,Myh1_Myh1<tm1b(KOMP)Wtsi>_homozygote_JAX_female,23.915,21.373,17.925,22.831,16.671,Candidate
Tmco6,Tmco6<tm1.1(KOMP)Vlcg>,homozygote,JAX,11.519561815336465,0.708,0.455,0.946,7.0,2541.0,Tmco6_Tmco6<tm1.1(KOMP)Vlcg>_homozygote_JAX,24.207,32.879,32.71,27.976,20.927,3.441976679622432,0.624,0.322,0.909,4.0,1264.0,Tmco6_Tmco6<tm1.1(KOMP)Vlcg>_homozygote_JAX_male,26.271,32.148,29.178,27.468,20.616,1.849002849002849,0.57,0.244,0.886,3.0,1277.0,Tmco6_Tmco6<tm1.1(KOMP)Vlcg>_homozygote_JAX_female,19.419,27.053,30.909,23.705,20.678,Novel
Adgrb1,Adgrb1<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,31.6530612244898,0.75,0.539,0.964,8.0,904.0,Adgrb1_Adgrb1<tm2a(EUCOMM)Wtsi>_homozygote_WTSI,32.638,35.278,34.34,42.322,40.608,9.869565217391305,0.698,0.441,0.933,6.0,453.0,Adgrb1_Adgrb1<tm2a(EUCOMM)Wtsi>_homozygote_WTSI_male,26.159,34.014,36.559,45.499,38.891,,,,,,,,,,,,,Novel
Akr1c12,Akr1c12<tm1b(KOMP)Wtsi>,homozygote,MARC,3.39802089059923,0.626,0.332,0.909,4.0,147.0,Akr1c12_Akr1c12<tm1b(KOMP)Wtsi>_homozygote_MARC,9.068,14.857,8.294,35.203,26.814,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Scand1,Scand1<em1(IMPC)H>,homozygote,MRC Harwell,3.371584699453552,0.622,0.323,0.911,4.0,70.0,Scand1_Scand1<em1(IMPC)H>_homozygote_MRC Harwell,19.163,20.748,19.302,19.703,17.389,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Rtn4rl2,Rtn4rl2<em1(IMPC)Mbp>,homozygote,UC Davis,3.4370493621741542,0.626,0.33,0.911,4.0,569.0,Rtn4rl2_Rtn4rl2<em1(IMPC)Mbp>_homozygote_UC Davis,20.678,21.25,23.201,29.04,32.452,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Marveld2,Marveld2<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,3.4742729306487696,0.625,0.332,0.914,4.0,858.0,Marveld2_Marveld2<tm1b(EUCOMM)Wtsi>_homozygote_MRC Harwell,34.606,40.55,39.439,38.922,28.493,,,,,,,,,,,,,,,,,,,,,,,,,Known
Agap1,Agap1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,11.965964343598054,0.692,0.458,0.907,9.0,904.0,Agap1_Agap1<tm1a(EUCOMM)Wtsi>_homozygote_WTSI,14.615,6.296,10.128,17.287,39.743,7.7527352297593,0.666,0.424,0.903,8.0,453.0,Agap1_Agap1<tm1a(EUCOMM)Wtsi>_homozygote_WTSI_male,15.323,6.88,10.634,16.634,39.76,,,,,,,,,,,,,Candidate
Tram2,Tram2<tm1a(KOMP)Wtsi>,homozygote,WTSI,7.724100327153762,0.666,0.42,0.901,8.0,904.0,Tram2_Tram2<tm1a(KOMP)Wtsi>_homozygote_WTSI,47.962,41.836,34.935,33.324,31.065,1.9411764705882355,0.572,0.255,0.884,3.0,453.0,Tram2_Tram2<tm1a(KOMP)Wtsi>_homozygote_WTSI_male,34.191,30.468,26.432,30.656,25.202,6.352941176470588,0.669,0.397,0.924,5.0,451.0,Tram2_Tram2<tm1a(KOMP)Wtsi>_homozygote_WTSI_female,46.081,41.389,35.129,30.117,29.105,Novel
Rabggta,Rabggta<tm1.1(KOMP)Vlcg>,heterozygote,MARC,3.1666666666666665,0.618,0.318,0.907,4.0,147.0,Rabggta_Rabggta<tm1.1(KOMP)Vlcg>_heterozygote_MARC,11.413,11.599,13.205,24.602,26.711,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Pappa,Pappa<em1(IMPC)H>,homozygote,MRC Harwell,3.3383947939262475,0.627,0.33,0.913,4.0,70.0,Pappa_Pappa<em1(IMPC)H>_homozygote_MRC Harwell,22.038,21.669,19.366,21.685,22.051,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Defb43,Defb43<tm1b(KOMP)Wtsi>,homozygote,MARC,3.46927374301676,0.625,0.322,0.901,4.0,147.0,Defb43_Defb43<tm1b(KOMP)Wtsi>_homozygote_MARC,17.379,15.386,14.016,31.366,26.847,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Sun1,Sun1<tm1b(EUCOMM)Wtsi>,homozygote,ICS,1.5781501772478246,0.539,0.296,0.777,9.0,1512.0,Sun1_Sun1<tm1b(EUCOMM)Wtsi>_homozygote_ICS,37.839,57.003,53.269,41.464,26.674,10.577424023154848,0.7,0.444,0.937,6.0,767.0,Sun1_Sun1<tm1b(EUCOMM)Wtsi>_homozygote_ICS_male,37.449,56.136,53.264,42.636,28.499,0.0161310809094373,0.144,0.0,0.372,3.0,745.0,Sun1_Sun1<tm1b(EUCOMM)Wtsi>_homozygote_ICS_female,19.987,19.942,20.008,19.966,20.031,Known
Pcyox1l,Pcyox1l<em1(IMPC)J>,homozygote,JAX,2.690036900369004,0.583,0.335,0.85,8.0,2541.0,Pcyox1l_Pcyox1l<em1(IMPC)J>_homozygote_JAX,26.115,29.905,38.694,23.402,22.552,3.5662100456621006,0.627,0.336,0.929,4.0,1264.0,Pcyox1l_Pcyox1l<em1(IMPC)J>_homozygote_JAX_male,29.8,29.155,41.475,28.06,24.009,0.5518913676042677,0.434,0.114,0.75,4.0,1277.0,Pcyox1l_Pcyox1l<em1(IMPC)J>_homozygote_JAX_female,16.075,24.391,23.518,13.804,17.88,Novel
U2af1,U2af1<em1(IMPC)J>,heterozygote,JAX,2.6101083032490973,0.585,0.333,0.838,8.0,2541.0,U2af1_U2af1<em1(IMPC)J>_heterozygote_JAX,20.13,17.531,33.476,23.901,18.759,0.3084723585214262,0.377,0.092,0.688,4.0,1264.0,U2af1_U2af1<em1(IMPC)J>_heterozygote_JAX_male,26.287,20.602,27.831,23.259,21.83,3.4101433296582138,0.624,0.33,0.91,4.0,1277.0,U2af1_U2af1<em1(IMPC)J>_heterozygote_JAX_female,16.259,16.317,32.253,22.547,17.062,Novel
Myo3a,Myo3a<tm1b(KOMP)Wtsi>,homozygote,JAX,2.659652333028362,0.584,0.342,0.847,8.0,2541.0,Myo3a_Myo3a<tm1b(KOMP)Wtsi>_homozygote_JAX,14.157,22.23,20.963,12.608,14.482,0.2700428639466582,0.372,0.091,0.667,4.0,1264.0,Myo3a_Myo3a<tm1b(KOMP)Wtsi>_homozygote_JAX_male,16.538,20.575,18.813,17.856,17.203,3.3859649122807016,0.625,0.33,0.907,4.0,1277.0,Myo3a_Myo3a<tm1b(KOMP)Wtsi>_homozygote_JAX_female,14.45,22.602,22.073,12.054,15.014,Known
Actl6b,Actl6b<em1(IMPC)J>,heterozygote,JAX,0.3838436256702993,0.417,0.158,0.662,8.0,2541.0,Actl6b_Actl6b<em1(IMPC)J>_heterozygote_JAX,24.09,24.085,26.083,22.638,21.964,0.0090817356205852,0.125,0.0,0.338,4.0,1264.0,Actl6b_Actl6b<em1(IMPC)J>_heterozygote_JAX_male,19.974,19.924,19.98,19.966,20.009,3.434589800443459,0.625,0.328,0.916,4.0,1277.0,Actl6b_Actl6b<em1(IMPC)J>_heterozygote_JAX_female,24.502,24.193,26.011,22.481,21.924,Novel
Csnk1g3,Csnk1g3<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,1.5173064820641913,0.538,0.264,0.8,8.0,904.0,Csnk1g3_Csnk1g3<tm1a(EUCOMM)Wtsi>_homozygote_WTSI,5.026,4.746,5.451,13.809,32.504,0.0104837691044587,0.131,0.0,0.343,4.0,453.0,Csnk1g3_Csnk1g3<tm1a(EUCOMM)Wtsi>_homozygote_WTSI_male,19.428,19.571,19.633,19.721,20.32,3.424778761061947,0.624,0.318,0.906,4.0,451.0,Csnk1g3_Csnk1g3<tm1a(EUCOMM)Wtsi>_homozygote_WTSI_female,7.103,5.297,5.636,15.015,31.034,Candidate
Tmem108,Tmem108<tm1b(EUCOMM)Wtsi>,homozygote,ICS,1.23463687150838,0.516,0.303,0.742,15.0,1512.0,Tmem108_Tmem108<tm1b(EUCOMM)Wtsi>_homozygote_ICS,18.201,14.262,15.755,25.984,24.436,0.1702750146284377,0.343,0.101,0.618,7.0,767.0,Tmem108_Tmem108<tm1b(EUCOMM)Wtsi>_homozygote_ICS_male,15.489,13.309,15.037,24.396,24.435,3.056795131845842,0.596,0.346,0.841,8.0,745.0,Tmem108_Tmem108<tm1b(EUCOMM)Wtsi>_homozygote_ICS_female,20.536,16.258,17.064,23.755,21.224,Novel
Myo1d,Myo1d<em1(IMPC)J>,homozygote,JAX,2.67140890316659,0.584,0.32,0.822,8.0,2541.0,Myo1d_Myo1d<em1(IMPC)J>_homozygote_JAX,10.16,22.228,40.541,13.666,15.572,0.2911555842479019,0.377,0.087,0.672,4.0,1264.0,Myo1d_Myo1d<em1(IMPC)J>_homozygote_JAX_male,12.338,27.116,29.982,18.622,16.221,3.343105320304017,0.626,0.329,0.916,4.0,1277.0,Myo1d_Myo1d<em1(IMPC)J>_homozygote_JAX_female,11.682,17.856,39.967,12.754,17.053,Novel
D6Wsu163e,D6Wsu163e<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,2.582624272279445,0.584,0.32,0.832,8.0,904.0,D6Wsu163e_D6Wsu163e<tm1b(EUCOMM)Wtsi>_homozygote_WTSI,7.302,6.643,5.38,14.602,36.188,0.3061224489795918,0.377,0.083,0.673,4.0,453.0,D6Wsu163e_D6Wsu163e<tm1b(EUCOMM)Wtsi>_homozygote_WTSI_male,9.146,11.969,8.131,16.041,27.979,3.3835616438356166,0.623,0.342,0.911,4.0,451.0,D6Wsu163e_D6Wsu163e<tm1b(EUCOMM)Wtsi>_homozygote_WTSI_female,9.054,6.252,6.558,14.995,34.265,Candidate
Wdtc1,Wdtc1<tm1a(KOMP)Wtsi>,homozygote,WTSI,0.6086869093102755,0.454,0.195,0.723,7.0,904.0,Wdtc1_Wdtc1<tm1a(KOMP)Wtsi>_homozygote_WTSI,9.899,14.131,36.268,53.298,39.487,0.017293997965412,0.143,0.0,0.372,3.0,453.0,Wdtc1_Wdtc1<tm1a(KOMP)Wtsi>_homozygote_WTSI_male,20.012,20.005,20.1,20.035,20.026,3.294149221685453,0.626,0.323,0.91,4.0,451.0,Wdtc1_Wdtc1<tm1a(KOMP)Wtsi>_homozygote_WTSI_female,10.02,14.015,35.232,52.234,38.838,Novel
