gene_symbol,allele_symbol,zygosity,center,all_bayes_factor,all_p_hearing_loss,all_hdi_lower,all_hdi_upper,all_n_mutants,all_n_controls,all_analysis_key,all_effect_6kHz-evoked,all_effect_12kHz-evoked,all_effect_18kHz-evoked,all_effect_24kHz-evoked,all_effect_30kHz-evoked,male_bayes_factor,male_p_hearing_loss,male_hdi_lower,male_hdi_upper,male_n_mutants,male_n_controls,male_analysis_key,male_effect_6kHz-evoked,male_effect_12kHz-evoked,male_effect_18kHz-evoked,male_effect_24kHz-evoked,male_effect_30kHz-evoked,female_bayes_factor,female_p_hearing_loss,female_hdi_lower,female_hdi_upper,female_n_mutants,female_n_controls,female_analysis_key,female_effect_6kHz-evoked,female_effect_12kHz-evoked,female_effect_18kHz-evoked,female_effect_24kHz-evoked,female_effect_30kHz-evoked,gene_classification
Zfp719,Zfp719<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,172.91304347826087,0.801,0.627,0.97,11.0,904.0,Zfp719_Zfp719<tm1b(EUCOMM)Wtsi>_homozygote_WTSI,37.672,69.14,69.57,61.059,47.769,17.561484918793504,0.726,0.494,0.957,7.0,453.0,Zfp719_Zfp719<tm1b(EUCOMM)Wtsi>_homozygote_WTSI_male,32.491,64.948,68.611,59.033,45.06,3.37636761487965,0.626,0.341,0.926,4.0,451.0,Zfp719_Zfp719<tm1b(EUCOMM)Wtsi>_homozygote_WTSI_female,41.582,64.158,60.971,52.243,38.849,Candidate
Zfp719,Zfp719<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,85.02150537634408,0.786,0.59,0.961,10.0,904.0,Zfp719_Zfp719<tm1a(EUCOMM)Wtsi>_homozygote_WTSI,33.169,57.9,67.749,60.542,47.085,3.456824512534819,0.625,0.329,0.907,4.0,453.0,Zfp719_Zfp719<tm1a(EUCOMM)Wtsi>_homozygote_WTSI_male,24.369,49.899,64.513,54.029,39.906,10.204481792717086,0.699,0.445,0.942,6.0,451.0,Zfp719_Zfp719<tm1a(EUCOMM)Wtsi>_homozygote_WTSI_female,37.329,57.022,62.432,55.988,42.392,Candidate
Cep85l,Cep85l<em1(IMPC)Mbp>,homozygote,UC Davis,3.3313481321061182,0.623,0.307,0.9,4.0,569.0,Cep85l_Cep85l<em1(IMPC)Mbp>_homozygote_UC Davis,40.091,50.852,56.084,49.44,32.464,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Duoxa2,Duoxa2<tm1b(KOMP)Wtsi>,homozygote,WTSI,33.93449781659389,0.749,0.528,0.944,8.0,904.0,Duoxa2_Duoxa2<tm1b(KOMP)Wtsi>_homozygote_WTSI,56.833,69.334,66.302,58.12,44.55,10.851851851851851,0.701,0.459,0.947,6.0,453.0,Duoxa2_Duoxa2<tm1b(KOMP)Wtsi>_homozygote_WTSI_male,54.966,67.188,65.461,56.454,42.669,,,,,,,,,,,,,Candidate
Hsd17b4,Hsd17b4<em1(IMPC)Tcp>,homozygote,TCP,3.07955124936257,0.62,0.327,0.92,4.0,588.0,Hsd17b4_Hsd17b4<em1(IMPC)Tcp>_homozygote_TCP,14.478,8.893,10.662,11.498,11.697,,,,,,,,,,,,,,,,,,,,,,,,,Known
Col9a2,Col9a2<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,3.5792787635947336,0.626,0.333,0.918,4.0,858.0,Col9a2_Col9a2<tm1b(EUCOMM)Wtsi>_homozygote_MRC Harwell,28.45,25.325,26.941,32.141,26.851,,,,,,,,,,,,,,,,,,,,,,,,,Known
Nlk,Nlk<tm2b(KOMP)Wtsi>,heterozygote,ICS,11.82051282051282,0.672,0.449,0.874,16.0,1512.0,Nlk_Nlk<tm2b(KOMP)Wtsi>_heterozygote_ICS,15.068,8.697,11.067,16.534,26.149,0.6303240269003464,0.459,0.189,0.743,8.0,767.0,Nlk_Nlk<tm2b(KOMP)Wtsi>_heterozygote_ICS_male,18.503,12.202,13.198,19.535,23.545,5.211180124223603,0.658,0.371,0.923,8.0,745.0,Nlk_Nlk<tm2b(KOMP)Wtsi>_heterozygote_ICS_female,14.442,9.165,12.167,16.385,24.742,Novel
Plscr5,Plscr5<em1(IMPC)J>,homozygote,JAX,30.25,0.75,0.528,0.955,8.0,2541.0,Plscr5_Plscr5<em1(IMPC)J>_homozygote_JAX,24.69,38.806,43.763,33.569,25.581,3.600345025876941,0.626,0.324,0.898,4.0,1264.0,Plscr5_Plscr5<em1(IMPC)J>_homozygote_JAX_male,22.694,37.51,44.619,34.139,26.698,3.350190320826536,0.623,0.332,0.915,4.0,1277.0,Plscr5_Plscr5<em1(IMPC)J>_homozygote_JAX_female,25.435,32.778,33.85,26.742,21.87,Novel
Arv1,Arv1<em1(IMPC)J>,homozygote,JAX,4.8013052936910805,0.638,0.38,0.898,7.0,2541.0,Arv1_Arv1<em1(IMPC)J>_homozygote_JAX,30.116,30.54,33.473,24.972,15.563,1.8776978417266188,0.571,0.261,0.898,3.0,1264.0,Arv1_Arv1<em1(IMPC)J>_homozygote_JAX_male,29.529,30.122,33.596,27.6,21.495,1.009545340366742,0.5,0.187,0.791,4.0,1277.0,Arv1_Arv1<em1(IMPC)J>_homozygote_JAX_female,27.272,26.035,27.196,19.539,11.887,Novel
Kcne1,Kcne1<tm1b(EUCOMM)Hmgu>,homozygote,ICS,614.3846153846154,0.834,0.682,0.976,14.0,1512.0,Kcne1_Kcne1<tm1b(EUCOMM)Hmgu>_homozygote_ICS,49.293,70.722,67.809,54.778,35.516,10.157601115760112,0.7,0.448,0.945,6.0,767.0,Kcne1_Kcne1<tm1b(EUCOMM)Hmgu>_homozygote_ICS_male,41.566,60.819,58.407,46.459,30.855,28.85074626865672,0.749,0.523,0.946,8.0,745.0,Kcne1_Kcne1<tm1b(EUCOMM)Hmgu>_homozygote_ICS_female,46.991,68.127,63.873,49.1,30.421,Known
