gene_symbol,total_groups,male_analyzable,female_analyzable,both_sex_analyzable,max_male_mice,max_female_mice,max_male_complete_data,max_female_complete_data,max_male_controls,max_female_controls
Sun2,1,True,False,False,4.0,2.0,4.0,2.0,169.0,177.0
Myo9a,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Cyp2c23,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Spin2c,2,True,True,False,4.0,4.0,4.0,4.0,1264.0,1277.0
Dydc2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Cpb1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ttll7,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
S100a1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Sptbn2,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Bahd1,1,True,True,True,9.0,8.0,9.0,8.0,767.0,745.0
Foxn2,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Tcte1,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Abcd3,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Gdf6,1,True,True,True,8.0,8.0,8.0,8.0,1701.0,1745.0
Fam221a,1,True,True,True,8.0,8.0,4.0,5.0,1701.0,1745.0
Hemgn,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Pigh,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ipo4,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Kctd9,1,True,True,True,4.0,3.0,4.0,3.0,1264.0,1277.0
Nbas,1,True,True,True,4.0,4.0,4.0,3.0,475.0,485.0
Csf1r,1,False,False,False,2.0,2.0,2.0,2.0,36.0,34.0
Mmrn1,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Efna2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Mgl2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Slit2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Zscan5b,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Adgrg5,1,False,False,False,2.0,1.0,2.0,1.0,169.0,177.0
Mbd6,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Tm7sf2,1,True,True,True,3.0,3.0,3.0,3.0,767.0,745.0
Mybl2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Rab12,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Efhc2,2,True,True,False,4.0,4.0,4.0,4.0,1264.0,1277.0
Elk3,1,True,True,True,3.0,3.0,3.0,3.0,767.0,745.0
Uri1,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Gsta4,1,True,True,True,4.0,4.0,4.0,4.0,475.0,485.0
Asic5,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Psd2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Ndrg4,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Ankfy1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Adk,1,True,True,True,7.0,7.0,7.0,7.0,1701.0,1745.0
Frmpd1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Cox7a2,1,True,True,True,4.0,4.0,4.0,3.0,959.0,950.0
Myzap,1,False,True,False,2.0,3.0,2.0,3.0,1264.0,1277.0
Mroh4,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Zscan12,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Mthfsl,1,True,False,False,3.0,1.0,3.0,1.0,475.0,485.0
Txndc11,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Usp2,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Pebp4,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Mpl,1,True,True,True,7.0,7.0,7.0,7.0,1701.0,1745.0
Lmbrd1,1,True,False,False,4.0,0.0,4.0,0.0,293.0,295.0
Gipc2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Fgf17,1,False,False,False,2.0,2.0,2.0,2.0,36.0,34.0
Bod1,1,False,False,False,2.0,2.0,2.0,2.0,83.0,64.0
Zfp652,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Paip1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Ube2w,1,False,False,False,2.0,2.0,2.0,2.0,83.0,64.0
Ablim3,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
S100a14,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Cdh4,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Fbxl15,1,False,False,False,2.0,2.0,2.0,2.0,83.0,64.0
Me1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Dok4,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Mzb1,1,True,True,True,7.0,7.0,7.0,6.0,1701.0,1745.0
Setd2,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Ywhab,1,True,True,True,4.0,4.0,4.0,3.0,959.0,950.0
Atad2b,1,True,True,True,7.0,7.0,7.0,7.0,767.0,745.0
Hoxa4,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Rcc2,1,False,False,False,3.0,2.0,2.0,2.0,434.0,426.0
Krt86,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Atp9b,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Meak7,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Rap1gap2,1,True,True,True,3.0,3.0,3.0,3.0,767.0,745.0
Spast,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Tulp3,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Sec1,1,False,False,False,2.0,2.0,2.0,2.0,454.0,452.0
Rpgrip1l,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Paox,1,False,False,False,2.0,3.0,1.0,1.0,475.0,485.0
Arf2,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Ncf2,1,True,False,False,3.0,1.0,3.0,1.0,454.0,452.0
Efr3b,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Fanci,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Zfp830,1,False,False,False,2.0,2.0,2.0,2.0,169.0,177.0
Mars2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Adgra1,2,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Catsperz,1,True,True,True,4.0,3.0,4.0,3.0,1264.0,1277.0
Cdkl5,2,True,True,False,8.0,6.0,8.0,6.0,767.0,745.0
Wdr91,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ccdc15,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Gulp1,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Speer4f1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Mpzl1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Hjv,1,True,True,True,4.0,5.0,4.0,5.0,1264.0,1277.0
Erlin2,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Dnah6,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Fst,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Rfk,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Ptbp2,1,True,True,True,5.0,4.0,4.0,4.0,959.0,950.0
Cep55,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Tgfb1i1,1,False,True,False,1.0,6.0,1.0,6.0,454.0,452.0
Slco1b2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Jade3,1,False,False,False,,,,,,
Slc38a7,1,True,True,True,9.0,8.0,8.0,8.0,1701.0,1745.0
Hnf4g,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Endog,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Brd9,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Mrgprx1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Tcea2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ankhd1,1,False,False,False,,,,,,
Eps8l1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Ahcy,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Arrb1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Fbxo11,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Ofcc1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Trmt2b,2,True,True,False,4.0,4.0,4.0,4.0,1264.0,1277.0
Myo1h,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Cep126,1,True,True,True,4.0,3.0,4.0,3.0,1264.0,1277.0
Galnt12,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Zfp60,2,True,True,True,4.0,3.0,4.0,3.0,1264.0,1277.0
Slc6a20a,1,True,True,True,4.0,4.0,4.0,3.0,475.0,485.0
