gene_symbol,allele_symbol,zygosity,phenotyping_center,genetic_background,equipment_manufacturer,equipment_model,pipeline_name,n_mutants,n_mutants_complete,n_controls_matched,n_controls_matched_complete,n_controls_matched_abr001,n_controls_matched_abr001_complete
Pias2,Pias2<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pierce1,Pierce1<tm2b(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pigf,Pigf<tm1a(KOMP)Wtsi>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pigl,Pigl<tm1b(KOMP)Wtsi>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pitrm1,Pitrm1<tm1a(KOMP)Wtsi>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pitx1,Pitx1<em1(IMPC)Wtsi>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pkd1l2,Pkd1l2<tm1b(KOMP)Mbp>,homozygote,MRC Harwell,involves: C57BL/6NTac,Intelligent Hearing Systems,Smart EP,Harwell,4,4,860,858,400,400
Pla2g10,Pla2g10<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,involves: C57BL/6NTac,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",German Mouse Clinic,7,7,960,755,80,69
Pla2g6,Pla2g6<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pld3,Pld3<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,7,7,906,904,906,904
Pld5,Pld5<tm1b(KOMP)Wtsi>,homozygote,WTSI,involves: B6Brd;B6Dnk;B6N-Tyr<c-Brd>,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,54,54,54,54
Plet1,Plet1<em1(IMPC)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pls3,Pls3<tm1a(EUCOMM)Wtsi>,hemizygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Plscr2,Plscr2<tm1b(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Plxna2,Plxna2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
