gene_symbol,allele_symbol,zygosity,center,total_mice,mice_with_complete_data,control_count,control_status,6kHz-evoked ABR Threshold_count,12kHz-evoked ABR Threshold_count,18kHz-evoked ABR Threshold_count,24kHz-evoked ABR Threshold_count,30kHz-evoked ABR Threshold_count,6kHz-evoked ABR Threshold_mean,12kHz-evoked ABR Threshold_mean,18kHz-evoked ABR Threshold_mean,24kHz-evoked ABR Threshold_mean,30kHz-evoked ABR Threshold_mean
Cdc7,Cdc7<tm1.1(KOMP)Vlcg>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,18.75,22.5,31.25,48.75
Cdh26,Cdh26<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,47.5,23.75,28.75,43.75,63.75
Cenph,Cenph<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,12,11,960,OK,12,12,12,12,11,39.583333333333336,27.083333333333332,34.166666666666664,44.166666666666664,57.72727272727273
Cep162,Cep162<em1(IMPC)Kmpc>,homozygote,KMPC,4,2,420,OK,4,4,4,4,2,31.25,32.5,28.75,33.75,60.0
Ces1d,Ces1d<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,42.5,27.5,28.75,40.0,70.0
Ces2c,Ces2c<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,50.0,41.25,40.0,48.75,66.25
Cfap45,Cfap45<em1(IMPC)Mhzh>,heterozygote,MARC,6,6,147,OK,6,6,6,6,6,48.333333333333336,45.0,52.5,65.83333333333333,73.33333333333333
Cfap45,Cfap45<em1(IMPC)Mhzh>,homozygote,MARC,3,3,147,OK,3,3,3,3,3,48.333333333333336,53.333333333333336,38.333333333333336,46.666666666666664,55.0
Cfap68,Cfap68<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,51.25,27.5,31.25,37.5,52.5
Chchd10,Chchd10<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,41.25,26.25,28.75,35.0,47.5
Chd8,Chd8<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,31.25,17.5,23.75,32.5,60.0
Chek2,Chek2<tm1b(EUCOMM)Hmgu>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,48.75,46.875,36.25,43.125,60.0
Ciao2a,Ciao2a<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,33.75,21.25,20.0,33.75,45.0
Cib3,Cib3<em1(IMPC)H>,homozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,35.0,30.0,32.5,33.75,37.5
Cimap1d,Cimap1d<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,76.25,80.0,68.75,71.25,77.5
Cimap1d,Cimap1d<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,66.25,60.0,57.5,78.75,100.0
Clca2,Clca2<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,38.75,22.5,22.5,30.0,62.5
Clcn6,Clcn6<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,35.0,17.5,22.5,31.25,55.0
Cldn3,Cldn3<em1(IMPC)H>,homozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,43.75,31.25,28.75,35.0,51.25
Clec2i,Clec2i<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,346,OK,4,4,4,2,2,58.75,52.5,51.25,55.0,45.0
Clec5a,Clec5a<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,35.0,18.75,23.75,37.5,73.75
Cmklr2,Cmklr2<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,41.25,27.5,27.5,27.5,45.0
Cmtm3,Cmtm3<em1(IMPC)H>,homozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,41.25,38.75,32.5,30.0,32.5
Coq2,Coq2<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,48.75,27.5,33.75,41.25,43.75
Cox20,Cox20<em1(IMPC)Tcp>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,18.75,22.5,30.0,42.5
Cpa1,Cpa1<em1(IMPC)Marc>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,57.5,42.5,45.0,53.75,76.25
Cpe,Cpe<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,4,1,960,OK,2,2,2,2,1,50.0,42.5,47.5,62.5,60.0
Cped1,Cped1<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,48.125,41.25,30.0,49.375,56.25
Crtac1,Crtac1<em1(IMPC)H>,homozygote,MRC Harwell,4,3,346,OK,4,4,4,4,3,41.25,40.0,42.5,57.5,81.66666666666667
Csf2rb,Csf2rb<tm2b(EUCOMM)Hmgu>,heterozygote,ICS,16,16,1512,OK,16,16,16,16,16,39.6875,18.75,20.3125,28.4375,40.3125
Csf3r,Csf3r<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,46.25,42.5,33.75,43.75,77.5
Cstdc3,Cstdc3<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,18.75,25.0,33.75,48.75
Ctla2b,Ctla2b<tm1.1(NCOM)Mfgc>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,17.5,20.0,26.25,35.0
Cul5,Cul5<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,51.25,36.25,37.5,51.25,60.0
Cyb5b,Cyb5b<tm1b(EUCOMM)Hmgu>,heterozygote,KMPC,4,2,420,OK,4,4,4,4,2,37.5,27.5,25.0,38.75,70.0
Cysltr2,Cysltr2<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,30.0,30.0,37.5,46.25
Dapl1,Dapl1<em1(IMPC)Kmpc>,homozygote,KMPC,4,1,420,OK,4,4,4,4,1,30.0,27.5,28.75,38.75,60.0
Defb43,Defb43<tm1b(KOMP)Wtsi>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,67.5,56.25,55.0,88.75,95.0
Dgke,Dgke<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,35.0,20.0,23.75,27.5,41.25
Dhx9,Dhx9<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8,0,1909,OK,0,0,0,0,0,,,,,
Dnajc21,Dnajc21<tm1.1(NCOM)Mfgc>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,35.0,21.25,25.0,28.75,41.25
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,ICS,21,21,1512,OK,21,21,21,21,21,47.61904761904762,20.0,21.428571428571427,30.0,38.095238095238095
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,50.0,26.25,25.0,41.25,57.5
Dnase1l2,Dnase1l2<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,47.5,45.0,34.375,43.125,57.5
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,43.75,30.0,28.75,35.0,42.5
