gene_symbol,allele_symbol,zygosity,center,total_mice,mice_with_complete_data,control_count,control_status,6kHz-evoked ABR Threshold_count,12kHz-evoked ABR Threshold_count,18kHz-evoked ABR Threshold_count,24kHz-evoked ABR Threshold_count,30kHz-evoked ABR Threshold_count,6kHz-evoked ABR Threshold_mean,12kHz-evoked ABR Threshold_mean,18kHz-evoked ABR Threshold_mean,24kHz-evoked ABR Threshold_mean,30kHz-evoked ABR Threshold_mean
Rfxank,Rfxank<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8,6,960,OK,8,8,8,8,6,46.25,31.25,35.625,43.75,63.333333333333336
Rimbp2,Rimbp2<em1(IMPC)Wtsi>,homozygote,WTSI,8,8,906,OK,8,8,8,8,8,31.875,17.5,21.875,30.0,41.875
Rmnd5b,Rmnd5b<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,50.625,51.875,35.625,44.375,57.5
Rnase11,Rnase11<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,22.5,23.75,33.75,51.25
Rnf128,Rnf128<tm1.1(KOMP)Vlcg>,hemizygote,CCP-IMG,8,3,3446,OK,8,8,8,8,3,31.25,23.125,23.75,51.25,80.0
Rnf128,Rnf128<tm1.1(KOMP)Vlcg>,homozygote,CCP-IMG,8,1,3446,OK,8,8,8,7,1,34.375,24.375,29.375,58.57142857142857,55.0
Rnf19b,Rnf19b<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,16,8,3446,OK,16,16,16,15,8,29.375,25.3125,30.3125,57.333333333333336,66.25
Rnf19b,Rnf19b<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,3,1,3446,OK,3,3,3,2,1,35.0,26.666666666666668,48.333333333333336,62.5,85.0
Rnf222,Rnf222<em1(IMPC)J>,homozygote,JAX,3,3,2541,OK,3,3,3,3,3,50.0,60.0,48.333333333333336,40.0,66.66666666666667
Rtn4,Rtn4<em1(IMPC)Hmgu>,homozygote,HMGU,9,0,1909,OK,3,1,0,0,0,75.0,50.0,,,
Rtn4rl2,Rtn4rl2<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,62.5,45.0,50.0,68.75,100.0
Samd9l,Samd9l<tm1.1(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,35.0,16.25,17.5,35.0,62.5
Scin,Scin<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,50.0,33.75,38.75,48.75,66.25
Scn3b,Scn3b<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,32.5,12.5,23.75,32.5,32.5
Sdha,Sdha<tm2b(KOMP)Wtsi>,heterozygote,JAX,8,8,2541,OK,8,8,8,8,8,55.625,50.625,40.0,58.125,68.75
Selenbp1,Selenbp1<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,43.75,20.0,23.75,37.5,52.5
Sema4d,Sema4d<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,47.5,38.75,37.5,43.75,60.0
Sema6a,Sema6a<tm2e.1(EUCOMM)Hmgu>,heterozygote,JAX,8,8,0,Insufficient controls found: 0 < 20,8,8,8,8,8,55.625,52.5,38.75,43.75,54.375
Septin2,Septin2<em1(IMPC)Tcp>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,35.0,18.75,25.0,32.5,45.0
Serinc3,Serinc3<tm1a(KOMP)Wtsi>,homozygote,WTSI,6,6,906,OK,6,6,6,6,6,43.333333333333336,21.666666666666668,26.666666666666668,32.5,43.333333333333336
Sfxn5,Sfxn5<tm1b(EUCOMM)Hmgu>,heterozygote,JAX,8,8,0,Insufficient controls found: 0 < 20,8,8,8,8,8,51.25,52.5,39.375,53.125,65.0
Sgip1,Sgip1<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,16,11,960,OK,16,16,16,16,11,52.5,35.9375,40.3125,47.8125,63.18181818181818
Sgip1,Sgip1<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,3,1,960,OK,3,3,3,2,1,55.0,36.666666666666664,43.333333333333336,45.0,55.0
Sgsh,Sgsh<em3(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,35.0,22.5,27.5,38.75,53.75
Sgsm1,Sgsm1<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,31.25,13.75,23.75,22.5,27.5
Sgtb,Sgtb<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,31.25,16.25,17.5,28.75,48.75
Sh3yl1,Sh3yl1<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,31.25,15.0,18.75,38.75,71.25
Sidt1,Sidt1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,46.25,23.75,32.5,42.5,55.0
Sirt1,Sirt1<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,37.5,31.25,25.0,26.25,35.0
Skic3,Skic3<em1(IMPC)Tcp>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,20.0,23.75,33.75,47.5
Slc13a3,Slc13a3<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,40.0,20.0,22.5,36.25,46.25
Slc4a8,Slc4a8<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,18.75,21.25,38.75,52.5
Slc5a4a,Slc5a4a<em1(IMPC)Hmgu>,homozygote,HMGU,8,8,1909,OK,8,8,8,8,8,41.875,26.875,28.75,40.0,56.875
Slc9a5,Slc9a5<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,54.375,47.5,38.75,43.75,58.75
Smoc1,Smoc1<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,3,3,860,OK,3,3,3,3,3,55.0,40.0,35.0,48.333333333333336,60.0
Smoc1,Smoc1<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,28.75,22.5,26.25,27.5,36.25
Snapc1,Snapc1<tm1b(KOMP)Mbp>,heterozygote,MRC Harwell,4,3,346,OK,4,4,4,4,3,57.5,43.75,40.0,40.0,48.333333333333336
Snph,Snph<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,3,3,574,OK,3,3,3,3,3,58.333333333333336,23.333333333333332,28.333333333333332,45.0,65.0
Snx22,Snx22<tm1.1(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,31.25,13.75,17.5,35.0,48.75
Sort1,Sort1<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,48.75,27.5,33.75,41.25,46.25
Sostdc1,Sostdc1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,58.75,46.25,37.5,46.25,56.25
Sowaha,Sowaha<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,40.0,25.0,27.5,38.75,65.0
Sprr1a,Sprr1a<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,48.75,43.125,34.375,43.75,60.625
Sptan1,Sptan1<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,31.25,17.5,25.0,32.5,41.25
Strbp,Strbp<em1(IMPC)Hmgu>,homozygote,HMGU,9,0,1909,OK,0,0,0,0,0,,,,,
Suox,Suox<em1(IMPC)Kmpc>,heterozygote,KMPC,4,2,420,OK,4,4,4,4,2,32.5,26.25,26.25,36.25,67.5
Syce2,Syce2<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,21.25,23.75,31.25,46.25
Syne3,Syne3<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,47.5,25.0,26.25,37.5,50.0
Sytl4,Sytl4<em1(IMPC)Hmgu>,hemizygote,HMGU,4,3,1909,OK,4,4,4,3,3,45.0,30.0,31.25,48.333333333333336,55.0
Sytl4,Sytl4<em1(IMPC)Hmgu>,homozygote,HMGU,4,1,1909,OK,4,4,4,4,1,38.75,28.75,31.25,58.75,70.0
Taar8a,Taar8a<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,49.375,43.125,41.25,56.25,63.75
Tafa2,Tafa2<em1(IMPC)H>,homozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,42.5,35.0,33.75,50.0,57.5
Tbcel,Tbcel<em1(IMPC)J>,homozygote,JAX,12,12,2541,OK,12,12,12,12,12,47.083333333333336,39.166666666666664,31.666666666666668,45.0,58.75
Tbl1xr1,Tbl1xr1<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,8,6,1909,OK,7,8,8,8,7,47.857142857142854,41.875,45.0,53.125,68.57142857142857
Tbl1xr1,Tbl1xr1<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,3,2,1909,OK,2,3,3,3,3,65.0,58.333333333333336,56.666666666666664,63.333333333333336,73.33333333333333
Tfpi2,Tfpi2<em1(IMPC)Kmpc>,homozygote,KMPC,4,0,420,OK,4,4,4,4,0,31.25,30.0,30.0,40.0,
Thbd,Thbd<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,38.75,21.25,23.75,37.5,50.0
Tle3,Tle3<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,41.25,22.5,20.0,33.75,33.75
Tlr2,Tlr2<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,47.5,22.5,26.25,41.25,53.75
Tmco5,Tmco5<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,3,3,346,OK,3,3,3,3,3,40.0,41.666666666666664,33.333333333333336,40.0,48.333333333333336
Tmem163,Tmem163<em1(IMPC)Kmpc>,homozygote,KMPC,4,0,420,OK,4,4,4,4,0,27.5,28.75,27.5,40.0,
Tmem163,Tmem163<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,30.0,16.25,23.75,28.75,36.25
Tmem171,Tmem171<em1(IMPC)J>,homozygote,JAX,7,7,2541,OK,7,7,7,7,7,55.0,47.857142857142854,37.142857142857146,47.857142857142854,65.71428571428571
Tmem184b,Tmem184b<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,56.25,30.0,30.0,43.75,48.75
Tmem30a,Tmem30a<tm1a(KOMP)Wtsi>,heterozygote,WTSI,5,5,906,OK,5,5,5,5,5,30.0,22.0,24.0,30.0,34.0
Tmem86a,Tmem86a<tm1b(KOMP)Mbp>,homozygote,KMPC,4,2,420,OK,4,4,4,4,2,27.5,25.0,28.75,46.25,65.0
Tmem88,Tmem88<em1(IMPC)Kmpc>,homozygote,KMPC,4,1,420,OK,4,4,4,4,1,26.25,31.25,28.75,40.0,60.0
Tmtc2,Tmtc2<em2(IMPC)Kmpc>,homozygote,KMPC,4,2,420,OK,4,4,4,4,2,32.5,27.5,27.5,42.5,57.5
Tor1a,Tor1a<em1(IMPC)H>,heterozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,48.75,37.5,25.0,33.75,67.5
Tor1aip1,Tor1aip1<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,47.5,57.5,46.25,50.0,58.75
Tprg1,Tprg1<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,38.75,23.75,25.0,41.25,65.0
Tpte,Tpte<em1(IMPC)Kmpc>,homozygote,KMPC,4,1,420,OK,4,4,4,4,1,36.25,30.0,33.75,51.25,60.0
Tram2,Tram2<tm1a(KOMP)Wtsi>,homozygote,WTSI,8,8,906,OK,8,8,8,8,8,79.375,59.375,55.625,62.5,72.5
Trappc1,Trappc1<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,32.5,13.75,18.75,28.75,40.0
Trav1,Trav1<em1(IMPC)J>,homozygote,JAX,7,7,2541,OK,7,7,7,7,7,51.42857142857143,47.142857142857146,33.57142857142857,39.285714285714285,58.57142857142857
Treml1,Treml1<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,38.75,23.75,28.75,31.25,35.0
Trh,Trh<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,31.25,17.5,25.0,28.75,46.25
Trmt9b,Trmt9b<em1(IMPC)H>,homozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,43.75,38.75,26.25,33.75,35.0
Tspan14,Tspan14<em1(IMPC)H>,heterozygote,MRC Harwell,3,2,346,OK,2,3,2,3,2,50.0,33.333333333333336,42.5,60.0,52.5
Tst,Tst<tm1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,56.25,18.75,25.0,36.25,47.5
Tst,Tst<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,45.0,30.0,30.0,38.75,51.25
Tstd1,Tstd1<em1(IMPC)J>,homozygote,JAX,7,7,2541,OK,7,7,7,7,7,44.285714285714285,35.714285714285715,32.142857142857146,47.857142857142854,57.857142857142854
Ttc38,Ttc38<em1Llp>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,50.0,45.0,36.875,41.875,61.25
Ttc7b,Ttc7b<em1(IMPC)J>,heterozygote,JAX,7,7,2541,OK,7,7,7,7,7,51.42857142857143,52.857142857142854,36.42857142857143,38.57142857142857,61.42857142857143
Tubb4b,Tubb4b<em1(IMPC)J>,heterozygote,JAX,4,4,2541,OK,4,4,4,4,4,41.25,32.5,38.75,30.0,48.75
Ube3c,Ube3c<tm1b(EUCOMM)Hmgu>,homozygote,RBRC,4,4,296,OK,4,4,4,4,4,13.05,17.7,19.25,59.25,70.9
Ube3c,Ube3c<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8,2,1909,OK,8,8,8,6,2,44.375,36.25,35.0,50.833333333333336,65.0
Ufc1,Ufc1<em1(IMPC)Marc>,heterozygote,MARC,4,4,147,OK,4,4,4,4,4,43.75,42.5,41.25,40.0,47.5
Unc13b,Unc13b<tm1b(KOMP)Wtsi>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,47.5,23.75,25.0,33.75,52.5
Unc13c,Unc13c<em1(IMPC)H>,homozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,42.5,36.25,32.5,40.0,46.25
Usp16,Usp16<tm1b(EUCOMM)Hmgu>,heterozygote,MARC,5,5,0,Insufficient controls found: 0 < 20,5,5,5,5,5,55.0,45.0,45.0,53.0,73.0
Usp29,Usp29<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,35.0,17.5,23.75,31.25,45.0
Usp31,Usp31<em1(IMPC)Marc>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,53.75,41.25,50.0,57.5,73.75
Usp36,Usp36<tm1b(EUCOMM)Hmgu>,heterozygote,MARC,4,4,147,OK,4,4,4,4,4,50.0,41.25,47.5,55.0,72.5
Vegfb,Vegfb<tm1b(EUCOMM)Hmgu>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,46.875,46.25,35.0,45.0,62.5
Vopp1,Vopp1<tm1b(EUCOMM)Wtsi>,homozygote,JAX,7,7,0,Insufficient controls found: 0 < 20,7,7,7,7,7,50.0,44.285714285714285,35.714285714285715,48.57142857142857,61.42857142857143
Vopp1,Vopp1<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,50.625,48.125,38.75,50.0,64.375
Vps13c,Vps13c<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,5,2,960,OK,5,5,5,5,2,39.0,29.0,34.0,45.0,60.0
Vstm2l,Vstm2l<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,31.25,18.75,27.5,37.5,48.75
Washc3,Washc3<tm1.1(KOMP)Vlcg>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,36.25,16.25,23.75,28.75,42.5
Wfdc2,Wfdc2<em1(IMPC)H>,heterozygote,MRC Harwell,4,2,346,OK,4,4,4,4,2,56.25,36.25,37.5,47.5,60.0
Xbp1,Xbp1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,906,OK,4,4,4,4,4,33.75,16.25,20.0,32.5,40.0
Xbp1,Xbp1<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,43.75,37.5,36.25,42.5,41.25
Zc3h13,Zc3h13<em1(IMPC)J>,heterozygote,JAX,8,8,2541,OK,8,8,8,8,8,43.75,37.5,32.5,38.75,48.75
Zdhhc24,Zdhhc24<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,36.25,32.5,30.0,36.25,52.5
Zfp280d,Zfp280d<em1(IMPC)Hmgu>,homozygote,HMGU,8,0,1909,OK,0,0,0,0,0,,,,,
Zfp354a,Zfp354a<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,33.75,20.0,21.25,30.0,66.25
Zgrf1,Zgrf1<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,45.0,36.25,28.75,46.875,60.625
Zswim1,Zswim1<tm1b(KOMP)Mbp>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,52.5,57.5,50.0,55.0,71.25
Zswim6,Zswim6<em1(IMPC)J>,heterozygote,JAX,8,8,2541,OK,8,8,8,8,8,53.125,48.75,35.0,46.875,63.75
