gene_symbol,allele_symbol,zygosity,n_mutants_with_data,impc_mutant_n,impc_control_n,n_abr_params_in_stats,n_abr_params_processed,no_impc_abr_result,status
Coq4,Coq4<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Coro1c,Coro1c<tm1a(KOMP)Wtsi>,heterozygote,6,6.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Coro1c,Coro1c<tm1a(KOMP)Wtsi>,homozygote,3,3.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Crb2,Crb2<tm1a(KOMP)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Creb3l1,Creb3l1<tm1e(EUCOMM)Wtsi>,heterozygote,5,5.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ct45a,Ct45a<tm1e(KOMP)Wtsi>,hemizygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cyba,Cyba<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cyfip2,Cyfip2<tm1a(EUCOMM)Wtsi>,heterozygote,8,8.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cyp20a1,Cyp20a1<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cyp3a11,Cyp3a11<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Daam2,Daam2<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dars2,Dars2<tm1a(KOMP)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dcdc2c,Dcdc2c<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dctn1,Dctn1<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dcx,Dcx<tm1a(EUCOMM)Wtsi>,hemizygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ddhd1,Ddhd1<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ddx55,Ddx55<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Def6,Def6<tm1a(EUCOMM)Wtsi>,homozygote,8,8.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Defb22,Defb22<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dennd1b,Dennd1b<tm1a(EUCOMM)Hmgu>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dhrs2,Dhrs2<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dlg2,Dlg2<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dmxl2,Dmxl2<tm1a(EUCOMM)Wtsi>,heterozygote,6,6.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dnmt3a,Dnmt3a<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dop1b,Dop1b<tm1a(EUCOMM)Wtsi>,homozygote,6,6.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dph2,Dph2<tm2(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dppa1,Dppa1<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dpy30,Dpy30<tm1a(KOMP)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dsc2,Dsc2<tm1e(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dsg1b,Dsg1b<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dusp5,Dusp5<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dynll1,Dynll1<tm1(KOMP)Wtsi>,heterozygote,8,8.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Dynlrb1,Dynlrb1<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Edc4,Edc4<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Eef1akmt1,Eef1akmt1<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ehbp1l1,Ehbp1l1<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Elmo1,Elmo1<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Entpd6,Entpd6<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Epcip,Epcip<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Erp44,Erp44<tm1a(KOMP)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ezr,Ezr<tm2a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Fanci,Fanci<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Farsa,Farsa<tm2a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Fbxl7,Fbxl7<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Fbxo47,Fbxo47<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Fbxo7,Fbxo7<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Fggy,Fggy<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Frmd7,Frmd7<tm1a(KOMP)Wtsi>,hemizygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Frrs1,Frrs1<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Fyn,Fyn<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
G3bp2,G3bp2<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Gbf1,Gbf1<tm1a(KOMP)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Gimap6,Gimap6<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Gldc,Gldc<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Gle1,Gle1<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Glg1,Glg1<tm1a(KOMP)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Glt8d2,Glt8d2<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Gm13547,Gm13547<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Gpc5,Gpc5<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Gpr107,Gpr107<tm1a(KOMP)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Gprc5b,Gprc5b<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Gsto2,Gsto2<tm2a(KOMP)Wtsi>,homozygote,6,6.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Gtf2a1,Gtf2a1<tm1a(KOMP)Wtsi>,heterozygote,5,5.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
H2-Eb1,H2-Eb1<b-tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Hacl1,Hacl1<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Hecw2,Hecw2<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
