gene_symbol,allele_symbol,zygosity,phenotyping_center,count
Bhlhe40,Bhlhe40<tm1b(KOMP)Wtsi>,homozygote,JAX,7
Bhlhe40,Bhlhe40<tm1b(KOMP)Wtsi>,homozygote,WTSI,5
Birc6,Birc6<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,15
Bloc1s5,Bloc1s5<em1(IMPC)Tcp>,heterozygote,TCP,4
Bmp10,Bmp10<tm3b(EUCOMM)Hmgu>,heterozygote,ICS,15
Bnc2,Bnc2<tm1b(KOMP)Wtsi>,heterozygote,ICS,6
Bnip2,Bnip2<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4
Boc,Boc<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4
Bok,Bok<tm1b(EUCOMM)Hmgu>,homozygote,TCP,4
Bpi,Bpi<em1(IMPC)J>,homozygote,JAX,8
Bpifb5,Bpifb5<tm2a(KOMP)Wtsi>,homozygote,WTSI,4
Brcc3dc,Brcc3dc<em1(IMPC)J>,homozygote,JAX,7
Brd3,Brd3<em1(IMPC)J>,heterozygote,JAX,5
Brd3,Brd3<em1(IMPC)J>,homozygote,JAX,5
Brix1,Brix1<tm1b(KOMP)Mbp>,heterozygote,MARC,4
Bscl2,Bscl2<tm1b(EUCOMM)Hmgu>,homozygote,ICS,10
Btbd1,Btbd1<tm1a(KOMP)Wtsi>,homozygote,CCP-IMG,15
Btbd10,Btbd10<em1(IMPC)Hmgu>,homozygote,HMGU,8
Btbd18,Btbd18<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Btbd8,Btbd8<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,21
Bzw1,Bzw1<em1(IMPC)J>,homozygote,JAX,8
Bzw2,Bzw2<tm1b(KOMP)Mbp>,homozygote,JAX,8
C1qa,C1qa<tm1b(EUCOMM)Wtsi>,homozygote,JAX,7
C1qtnf2,C1qtnf2<tm2b(KOMP)Wtsi>,homozygote,MRC Harwell,4
C1ra,C1ra<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
C1rl,C1rl<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4
C3,C3<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
C8b,C8b<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4
C9orf72,C9orf72<tm1.1(KOMP)Mbp>,homozygote,UC Davis,4
Cab39l,Cab39l<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4
Cabp2,Cabp2<em1(IMPC)J>,homozygote,JAX,9
Cachd1,Cachd1<em1(IMPC)J>,heterozygote,JAX,8
Cacna2d4,Cacna2d4<em1(IMPC)J>,homozygote,JAX,8
Cad,Cad<em1(IMPC)Mbp>,heterozygote,UC Davis,4
Calb1,Calb1<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Calhm4,Calhm4<em1(IMPC)Tcp>,homozygote,TCP,4
Camsap3,Camsap3<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,7
Cand1,Cand1<em1(IMPC)Mbp>,heterozygote,UC Davis,4
Cand2,Cand2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,6
Canx,Canx<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,3
Capn11,Capn11<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4
Capn12,Capn12<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8
Car6,Car6<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,15
Car7,Car7<tm1b(KOMP)Wtsi>,heterozygote,JAX,8
Carm1,Carm1<tm1b(EUCOMM)Hmgu>,heterozygote,MARC,4
Carmil2,Carmil2<tm1b(KOMP)Mbp>,homozygote,ICS,24
Carmil3,Carmil3<em1(IMPC)Mbp>,homozygote,UC Davis,4
Casq1,Casq1<tm1b(EUCOMM)Wtsi>,homozygote,ICS,17
Casr,Casr<tm1b(KOMP)Mbp>,heterozygote,UC Davis,4
Cav1,Cav1<em2(IMPC)Ics>,homozygote,ICS,16
Cbx6,Cbx6<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4
Ccdc125,Ccdc125<em1(IMPC)Hmgu>,homozygote,HMGU,8
Ccdc170,Ccdc170<em1(IMPC)J>,homozygote,JAX,8
Ccdc34,Ccdc34<em1(IMPC)J>,homozygote,JAX,8
Ccdc39,Ccdc39<tm2b(KOMP)Wtsi>,heterozygote,UC Davis,4
Ccdc77,Ccdc77<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4
Ccdc78,Ccdc78<em1(IMPC)J>,homozygote,JAX,7
Cck,Cck<tm2b(EUCOMM)Hmgu>,homozygote,RBRC,4
Ccn3,Ccn3<em1(IMPC)Mbp>,homozygote,UC Davis,4
Ccnb1,Ccnb1<tm1b(KOMP)Wtsi>,heterozygote,MRC Harwell,4
Ccng2,Ccng2<em1(IMPC)J>,homozygote,JAX,8
Ccnq,Ccnq<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4
Ccnt1,Ccnt1<em1(IMPC)J>,heterozygote,JAX,5
Ccnt1,Ccnt1<em1(IMPC)J>,homozygote,JAX,7
Cct5,Cct5<em1(IMPC)Tcp>,heterozygote,TCP,4
Cct7,Cct7<em1(IMPC)J>,heterozygote,JAX,8
Cd200r4,Cd200r4<tm1.1(KOMP)Wtsi>,homozygote,UC Davis,4
Cd27,Cd27<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Cd55b,Cd55b<tm1a(KOMP)Wtsi>,homozygote,WTSI,4
Cd5l,Cd5l<tm1b(KOMP)Mbp>,homozygote,MRC Harwell,4
Cdc20,Cdc20<tm1.1(KOMP)Vlcg>,heterozygote,JAX,8
Cdc34,Cdc34<tm1.1(KOMP)Mbp>,heterozygote,JAX,8
Cdc37,Cdc37<em1(IMPC)J>,heterozygote,JAX,8
Cdc5l,Cdc5l<em1(IMPC)J>,heterozygote,JAX,8
Cdcp3,Cdcp3<em1(IMPC)Mbp>,homozygote,UC Davis,4
Cdh12,Cdh12<em1(IMPC)J>,homozygote,JAX,8
Cdh13,Cdh13<tm1b(EUCOMM)Hmgu>,homozygote,ICS,14
Cdhr3,Cdhr3<em1(IMPC)Wtsi>,homozygote,HMGU,8
Cdk15,Cdk15<tm1b(KOMP)Wtsi>,homozygote,JAX,8
Cdk18,Cdk18<em1(IMPC)J>,homozygote,JAX,8
Cdkn1c,Cdkn1c<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,3
Cdkn2aipnl,Cdkn2aipnl<tm1b(KOMP)Wtsi>,homozygote,WTSI,4
Cdkn3,Cdkn3<em1(IMPC)J>,homozygote,JAX,8
Cdnf,Cdnf<em1(IMPC)Hmgu>,homozygote,HMGU,8
Cds1,Cds1<em1(IMPC)Mbp>,homozygote,UC Davis,4
Cdsn,Cdsn<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,8
Cenpe,Cenpe<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,4
Cenpv,Cenpv<em1(IMPC)Hmgu>,homozygote,HMGU,8
Cep135,Cep135<em1(IMPC)J>,heterozygote,JAX,9
Cep350,Cep350<em1(IMPC)J>,homozygote,JAX,8
Cep43,Cep43<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,8
Cerkl,Cerkl<tm1b(KOMP)Wtsi>,homozygote,HMGU,8
Cers5,Cers5<tm2b(KOMP)Mbp>,homozygote,JAX,7
Ces3b,Ces3b<em1(IMPC)J>,homozygote,JAX,8
Cfap119,Cfap119<tm1b(EUCOMM)Hmgu>,homozygote,ICS,15
Cfap161,Cfap161<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Cfap20dc,Cfap20dc<em1(IMPC)J>,homozygote,JAX,6
Cfap418,Cfap418<em1(IMPC)J>,homozygote,JAX,8
Cfap45,Cfap45<em1(IMPC)Mhzh>,heterozygote,MARC,6
Cfdp1,Cfdp1<em1(IMPC)J>,heterozygote,JAX,7
Cfi,Cfi<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4
Chd2,Chd2<tm1b(EUCOMM)Hmgu>,homozygote,TCP,4
Chd3,Chd3<em1(IMPC)J>,homozygote,JAX,8
