gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mutants,n_males,n_females,genetic_background,pipeline_name,n_controls
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,8,2,6,involves: C57BL/6NTac,Harwell,400
Retreg3,Retreg3<tm2b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Rhbdl3,Rhbdl3<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Rhbdl3,Rhbdl3<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,5,3,2,involves: C57BL/6NTac,Harwell,400
Ric8b,Ric8b<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Rlbp1,Rlbp1<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,3,2,1,involves: C57BL/6NTac,Harwell,400
Rnf10,Rnf10<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Rnf183,Rnf183<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Rsbn1,Rsbn1<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Rtn1,Rtn1<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Scnn1b,Scnn1b<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Sirt1,Sirt1<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Sirt1,Sirt1<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,2,2,0,involves: C57BL/6NTac,Harwell,400
Sirt4,Sirt4<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Slc39a8,Slc39a8<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Slc40a1,Slc40a1<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Smoc1,Smoc1<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Smoc1,Smoc1<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,3,1,2,involves: C57BL/6NTac,Harwell,400
Stard10,Stard10<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Ube2e2,Ube2e2<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Usp22,Usp22<tm1b(KOMP)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Usp3,Usp3<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
1110059G10Rik,1110059G10Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
1500011B03Rik,1500011B03Rik<tm2(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
