gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mutants,n_males,n_females,genetic_background,pipeline_name,n_controls
Ell2,Ell2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Ell2,Ell2<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,5,3,2,involves: C57BL/6N,MGP Select Pipeline,960
Elmo1,Elmo1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Enc1,Enc1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,5,5,0,involves: C57BL/6N,MGP Select Pipeline,960
Endou,Endou<tm1(KOMP)Vlcg>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Entpd6,Entpd6<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Epcip,Epcip<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Erlin2,Erlin2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Erp44,Erp44<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Evi5,Evi5<tm1a(KOMP)Wtsi>,homozygote,WTSI,8,6,2,involves: C57BL/6N,MGP Select Pipeline,960
Exoc3l2,Exoc3l2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Exoc3l2,Exoc3l2<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Exosc9,Exosc9<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Ezr,Ezr<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Fads3,Fads3<tm1b(EUCOMM)Hmgu>,homozygote,WTSI,9,5,4,involves: C57BL/6N,MGP Select Pipeline,960
Fam163a,Fam163a<tm2b(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Fam47e,Fam47e<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Fanci,Fanci<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Farsa,Farsa<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Fbf1,Fbf1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Fbxl7,Fbxl7<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Fbxo33,Fbxo33<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,8,7,1,involves: C57BL/6N,MGP Select Pipeline,960
Fbxo47,Fbxo47<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Fbxo7,Fbxo7<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Fbxw26,Fbxw26<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Fdft1,Fdft1<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Fggy,Fggy<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Fhip1a,Fhip1a<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Fkbp3,Fkbp3<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Fnip2,Fnip2<tm1a(KOMP)Wtsi>,homozygote,WTSI,6,2,4,involves: C57BL/6N,MGP Select Pipeline,960
Frmd7,Frmd7<tm1a(KOMP)Wtsi>,hemizygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Frrs1,Frrs1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Fryl,Fryl<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Fundc1,Fundc1<tm1c(KOMP)Wtsi>,hemizygote,WTSI,4,4,0,involves: B6Brd;B6Dnk;B6N-Tyr<c-Brd>,MGP Select Pipeline,960
Fundc1,Fundc1<tm1c(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: B6Brd;B6Dnk;B6N-Tyr<c-Brd>,MGP Select Pipeline,960
Fxyd3,Fxyd3<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Fyn,Fyn<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Fzd6,Fzd6<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
G3bp2,G3bp2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Galnt18,Galnt18<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Galntl5,Galntl5<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Garin3,Garin3<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Gas2l2,Gas2l2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Gbf1,Gbf1<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Gbp5,Gbp5<em1(IMPC)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Gda,Gda<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Gdpd2,Gdpd2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Gimap6,Gimap6<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Gldc,Gldc<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Gle1,Gle1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Glg1,Glg1<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Glo1,Glo1<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Glt8d2,Glt8d2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Glyatl3,Glyatl3<em1(IMPC)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Gm12253,Gm12253<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Gm13547,Gm13547<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Gm5544,Gm5544<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Gm6578,Gm6578<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Gmds,Gmds<tm1a(KOMP)Wtsi>,homozygote,WTSI,7,6,1,involves: C57BL/6N,MGP Select Pipeline,960
Gmnc,Gmnc<tm1b(KOMP)Wtsi>,heterozygote,WTSI,5,5,0,involves: C57BL/6N,MGP Select Pipeline,960
Gnb3,Gnb3<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,7,2,5,involves: C57BL/6N,MGP Select Pipeline,960
Golm2,Golm2<tm2b(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Gpatch1,Gpatch1<em1(IMPC)Wtsi>,heterozygote,WTSI,3,3,0,involves: C57BL/6N,MGP Select Pipeline,960
Gpbp1l1,Gpbp1l1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Gpc5,Gpc5<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Gpr107,Gpr107<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Gpr152,Gpr152<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,9,7,2,involves: C57BL/6N,MGP Select Pipeline,960
Gpr35,Gpr35<tm1b(EUCOMM)Hmgu>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Gprc5b,Gprc5b<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Grb7,Grb7<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Grm8,Grm8<tm2a(KOMP)Wtsi>,homozygote,WTSI,8,7,1,involves: C57BL/6N,MGP Select Pipeline,960
Grsf1,Grsf1<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Gsdme,Gsdme<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Gsto2,Gsto2<tm2a(KOMP)Wtsi>,homozygote,WTSI,6,6,0,involves: C57BL/6N,MGP Select Pipeline,960
Gtf2a1,Gtf2a1<tm1a(KOMP)Wtsi>,heterozygote,WTSI,5,4,1,involves: C57BL/6N,MGP Select Pipeline,960
Gtf2h2,Gtf2h2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
H13,H13<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
H2-Eb1,H2-Eb1<b-tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
H2al2a,H2al2a<em1(IMPC)Wtsi>,homozygote,WTSI,2,0,2,involves: C57BL/6N,MGP Select Pipeline,960
H2bl1,H2bl1<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Hacl1,Hacl1<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Hao2,Hao2<em1(IMPC)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Hbs1l,Hbs1l<tm1a(KOMP)Wtsi>,homozygote,WTSI,5,3,2,involves: C57BL/6N,MGP Select Pipeline,960
Hecw2,Hecw2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Herc1,Herc1<em1(IMPC)Wtsi>,homozygote,WTSI,5,1,4,involves: C57BL/6N,MGP Select Pipeline,960
Herc1,Herc1<em2(IMPC)Wtsi>,homozygote,WTSI,6,2,4,involves: C57BL/6N,MGP Select Pipeline,960
Herc1,Herc1<em3(IMPC)Wtsi>,homozygote,WTSI,6,2,4,involves: C57BL/6N,MGP Select Pipeline,960
Hibadh,Hibadh<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Hmgxb3,Hmgxb3<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,7,6,1,involves: C57BL/6N,MGP Select Pipeline,960
Homez,Homez<tm1e(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Hpf1,Hpf1<em1(IMPC)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Hrnr,Hrnr<em1(IMPC)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Hsp90aa1,Hsp90aa1<tm1(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Ido2,Ido2<tm3a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Ifi27,Ifi27<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Ifitm6,Ifitm6<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Ifnar1,Ifnar1<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,8,4,4,involves: C57BL/6N,MGP Select Pipeline,960
Ifnlr1,Ifnlr1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Ift140,Ift140<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Ift80,Ift80<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Ift80,Ift80<tm1a(KOMP)Wtsi>,homozygote,WTSI,6,5,1,involves: C57BL/6N,MGP Select Pipeline,960
Il10rb,Il10rb<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Il18rap,Il18rap<em1(IMPC)Wtsi>,homozygote,WTSI,3,0,3,involves: C57BL/6N,MGP Select Pipeline,960
Il1r2,Il1r2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Il23r,Il23r<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Il27,Il27<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Ildr1,Ildr1<tm1(KOMP)Wtsi>,homozygote,WTSI,7,5,2,involves: C57BL/6N,MGP Select Pipeline,960
Inava,Inava<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Inka2,Inka2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Inpp1,Inpp1<tm1b(KOMP)Wtsi>,homozygote,WTSI,8,8,0,involves: B6Brd;B6Dnk;B6N-Tyr<c-Brd>,MGP Select Pipeline,960
Ints2,Ints2<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Irag2,Irag2<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Irak1,Irak1<tm1b(EUCOMM)Hmgu>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Irf5,Irf5<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,5,4,1,involves: C57BL/6N,MGP Select Pipeline,960
Irf7,Irf7<tm1(KOMP)Wtsi>,homozygote,WTSI,6,5,1,involves: C57BL/6N,MGP Select Pipeline,960
Isg20,Isg20<tm1a(KOMP)Wtsi>,homozygote,WTSI,6,2,4,involves: C57BL/6N,MGP Select Pipeline,960
Izumo1r,Izumo1r<tm2a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Jmjd1c,Jmjd1c<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Josd1,Josd1<em1(IMPC)Wtsi>,homozygote,WTSI,6,4,2,involves: C57BL/6N,MGP Select Pipeline,960
Kat2b,Kat2b<em1(IMPC)Wtsi>,homozygote,WTSI,6,1,5,involves: C57BL/6N,MGP Select Pipeline,960
Kcnh4,Kcnh4<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Kcnip4,Kcnip4<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Kcnv2,Kcnv2<tm1Wtsi>,homozygote,WTSI,6,2,4,involves: C57BL/6N,MGP Select Pipeline,960
Kdm4d,Kdm4d<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Kdm7a,Kdm7a<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,6,4,2,involves: C57BL/6N,MGP Select Pipeline,960
Kdm8,Kdm8<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Kera,Kera<em1(IMPC)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Kif13b,Kif13b<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Kif18b,Kif18b<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Kif24,Kif24<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Kif3b,Kif3b<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Kifap3,Kifap3<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Kifbp,Kifbp<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Klc2,Klc2<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,13,7,6,involves: C57BL/6N,MGP Select Pipeline,960
Klf17,Klf17<tm1b(KOMP)Wtsi>,homozygote,WTSI,8,4,4,involves: C57BL/6N,MGP Select Pipeline,960
Klhl18,Klhl18<tm1a(KOMP)Wtsi>,homozygote,WTSI,8,7,1,involves: C57BL/6N,MGP Select Pipeline,960
Klhl21,Klhl21<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Klhl30,Klhl30<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Klk5,Klk5<tm2a(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Klk6,Klk6<em1(IMPC)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Klk9,Klk9<tm1a(KOMP)Wtsi>,homozygote,WTSI,5,1,4,involves: C57BL/6N,MGP Select Pipeline,960
Klrb1a,Klrb1a<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Krt31,Krt31<tm1e(KOMP)Wtsi>,homozygote,WTSI,8,7,1,involves: C57BL/6N,MGP Select Pipeline,960
Krt7,Krt7<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Krt83,Krt83<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Krt88,Krt88<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
L3mbtl2,L3mbtl2<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Lamc3,Lamc3<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Lars1,Lars1<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Lce1m,Lce1m<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Lce3c,Lce3c<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Ldhb,Ldhb<tm1b(KOMP)Wtsi>,homozygote,WTSI,10,3,7,involves: C57BL/6N,MGP Select Pipeline,960
Ldlrad4,Ldlrad4<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,5,5,0,involves: C57BL/6N,MGP Select Pipeline,960
Leo1,Leo1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Leprot,Leprot<tm2a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Leprot,Leprot<tm2b(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Lgals7,Lgals7<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Lgals7,Lgals7<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Lonrf3,Lonrf3<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Lonrf3,Lonrf3<tm1b(KOMP)Wtsi>,hemizygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Lpxn,Lpxn<tm1b(EUCOMM)Hmgu>,homozygote,WTSI,7,2,5,involves: C57BL/6N,MGP Select Pipeline,960
Lrmda,Lrmda<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Lrrc23,Lrrc23<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,6,1,5,involves: C57BL/6N,MGP Select Pipeline,960
Lrrc71,Lrrc71<tm1a(KOMP)Wtsi>,homozygote,WTSI,5,1,4,involves: C57BL/6N,MGP Select Pipeline,960
Lrrc8d,Lrrc8d<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Lyplal1,Lyplal1<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Lyrm9,Lyrm9<tm1a(KOMP)Mbp>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Lztr1,Lztr1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Macrod1,Macrod1<em1(IMPC)Wtsi>,homozygote,WTSI,5,5,0,involves: C57BL/6N,MGP Select Pipeline,960
Magea9,Magea9<tm1a(KOMP)Wtsi>,hemizygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Magea9,Magea9<tm1a(KOMP)Wtsi>,homozygote,WTSI,3,0,3,involves: C57BL/6N,MGP Select Pipeline,960
Mamstr,Mamstr<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,8,5,3,involves: C57BL/6N,MGP Select Pipeline,960
Man2b2,Man2b2<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Map2k7,Map2k7<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Map3k1,Map3k1<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Mapk10,Mapk10<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Mast2,Mast2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Mau2,Mau2<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Mbd1,Mbd1<em1(IMPC)Wtsi>,homozygote,WTSI,6,3,3,involves: C57BL/6N,MGP Select Pipeline,960
Mbl2,Mbl2<em1(IMPC)Wtsi>,homozygote,WTSI,6,4,2,involves: C57BL/6N,MGP Select Pipeline,960
Mcf2l,Mcf2l<tm1a(EUCOMM)Hmgu>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Med22,Med22<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,5,4,1,involves: C57BL/6N,MGP Select Pipeline,960
Med23,Med23<em1(IMPC)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Medag,Medag<tm2b(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Metrnl,Metrnl<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Mettl24,Mettl24<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Mgat4c,Mgat4c<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,8,4,4,involves: C57BL/6N,MGP Select Pipeline,960
Micu2,Micu2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Minar2,Minar2<tm1b(KOMP)Wtsi>,homozygote,WTSI,8,4,4,involves: C57BL/6N,MGP Select Pipeline,960
Mir146,Mir146<tm1Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Mir96,Mir96<tm2.2(IMPC)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Mir96,Mir96<tm2.2(IMPC)Wtsi>,homozygote,WTSI,6,6,0,involves: C57BL/6N,MGP Select Pipeline,960
Mir96,Mir96<tm3.2(IMPC)Wtsi>,homozygote,WTSI,5,3,2,involves: C57BL/6N,MGP Select Pipeline,960
Mkrn2,Mkrn2<em1(IMPC)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Mkrn2,Mkrn2<tm1b(KOMP)Wtsi>,homozygote,WTSI,10,5,5,involves: C57BL/6N,MGP Select Pipeline,960
Mlec,Mlec<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Mospd1,Mospd1<tm1a(KOMP)Wtsi>,hemizygote,WTSI,5,5,0,involves: C57BL/6N,MGP Select Pipeline,960
Mpg,Mpg<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Mrap2,Mrap2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
